Município;AIS;Natureza;Data;Hora;Dia da Semana;Tipo de Arma;Gênero;Idade da Vítima;Escolaridade da Vítima;Raça da Vítima
Fortaleza;AIS 09;HOMICIDIO DOLOSO;05/mar/21;22:45;Sexta;Arma de fogo;Masculino;23;Não Alfabetizado;Não Informada
Fortaleza;AIS 10;HOMICIDIO DOLOSO;06/mar/21;02:56;Sábado;Arma de fogo;Masculino;33;Alfabetizado;Não Informada
Fortim;AIS 18;HOMICIDIO DOLOSO;06/mar/21;03:00;Sábado;Arma de fogo;Masculino;53;Não Alfabetizado;Parda
Fortaleza;AIS 02;HOMICIDIO DOLOSO;06/mar/21;03:54;Sábado;Arma de fogo;Masculino;39;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;06/mar/21;03:54;Sábado;Arma de fogo;Feminino;40;Ensino Fundamental Completo;Não Informada
Brejo Santo;AIS 19;HOMICIDIO DOLOSO;06/mar/21;13:00;Sábado;Arma branca;Feminino;35;Alfabetizado;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;06/mar/21;15:00;Sábado;Arma de fogo;Masculino;19;Ensino Fundamental Completo;Não Informada
Boa Viagem;AIS 15;HOMICIDIO DOLOSO;06/mar/21;16:30;Sábado;Arma de fogo;Masculino;35;Alfabetizado;Parda
Quixadá;AIS 20;HOMICIDIO DOLOSO;06/mar/21;16:30;Sábado;Arma de fogo;Masculino;30;Não Alfabetizado;Não Informada
Crato;AIS 19;HOMICIDIO DOLOSO;06/mar/21;17:30;Sábado;Arma de fogo;Masculino;21;Ensino Fundamental Completo;Não Informada
Crato;AIS 19;HOMICIDIO DOLOSO;06/mar/21;17:40;Sábado;Arma de fogo;Masculino;22;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;06/mar/21;18:46;Sábado;Arma de fogo;Masculino;Não Informada;Não Informada;Não Informada
Fortaleza;AIS 04;HOMICIDIO DOLOSO;06/mar/21;19:00;Sábado;Arma de fogo;Masculino;36;Ensino Médio Completo;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;06/mar/21;19:00;Sábado;Arma de fogo;Masculino;Não Informada;Não Informada;Não Informada
Ibaretama;AIS 20;HOMICIDIO DOLOSO;06/mar/21;19:15;Sábado;Arma de fogo;Masculino;48;Não Alfabetizado;Não Informada
Baturité;AIS 15;HOMICIDIO DOLOSO;06/mar/21;21:00;Sábado;Arma de fogo;Masculino;26;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;07/mar/21;03:13;Domingo;Arma de fogo;Masculino;36;Alfabetizado;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;07/mar/21;03:13;Domingo;Arma de fogo;Masculino;16;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;07/mar/21;03:37;Domingo;Arma de fogo;Masculino;20;Não Informada;Não Informada
Umirim;AIS 17;HOMICIDIO DOLOSO;07/mar/21;05:00;Domingo;Arma de fogo;Masculino;21;Alfabetizado;Parda
Fortaleza;AIS 03;HOMICIDIO DOLOSO;07/mar/21;06:38;Domingo;Arma branca;Masculino;Não Informada;Não Informada;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;07/mar/21;07:15;Domingo;Arma de fogo;Masculino;14;Ensino Fundamental Completo;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;07/mar/21;07:15;Domingo;Arma de fogo;Masculino;18;Ensino Fundamental Incompleto;Não Informada
Maranguape;AIS 24;HOMICIDIO DOLOSO;07/mar/21;07:30;Domingo;Arma de fogo;Masculino;26;Ensino Fundamental Incompleto;Parda
Jaguaruana;AIS 18;HOMICIDIO DOLOSO;07/mar/21;09:30;Domingo;Arma de fogo;Masculino;41;Ensino Fundamental Incompleto;Parda
Canindé;AIS 15;HOMICIDIO DOLOSO;07/mar/21;19:30;Domingo;Arma branca;Masculino;35;Não Informada;Não Informada
Guaiúba;AIS 24;HOMICIDIO DOLOSO;08/mar/21;01:00;Segunda;Arma de fogo;Feminino;17;Ensino Médio Incompleto;Não Informada
Guaiúba;AIS 24;HOMICIDIO DOLOSO;08/mar/21;01:00;Segunda;Arma de fogo;Feminino;20;Ensino Médio Incompleto;Parda
Fortaleza;AIS 06;HOMICIDIO DOLOSO;08/mar/21;04:00;Segunda;Arma branca;Masculino;55;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 05;HOMICIDIO DOLOSO;08/mar/21;04:30;Segunda;Arma de fogo;Masculino;Não Informada;Não Informada;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;08/mar/21;08:00;Segunda;Arma de fogo;Masculino;60;Alfabetizado;Não Informada
Icó;AIS 21;HOMICIDIO DOLOSO;08/mar/21;13:30;Segunda;Arma de fogo;Masculino;26;Alfabetizado;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;08/mar/21;13:33;Segunda;Arma de fogo;Masculino;19;Não Informada;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;08/mar/21;16:00;Segunda;Arma de fogo;Masculino;20;Ensino Fundamental Incompleto;Parda
Fortaleza;AIS 03;HOMICIDIO DOLOSO;08/mar/21;17:30;Segunda;Arma de fogo;Masculino;20;Ensino Médio Completo;Não Informada
Fortaleza;AIS 10;HOMICIDIO DOLOSO;09/mar/21;10:34;Terça;Arma branca;Feminino;23;Alfabetizado;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;09/mar/21;14:30;Terça;Arma de fogo;Masculino;21;Alfabetizado;Não Informada
Acaraú;AIS 17;HOMICIDIO DOLOSO;09/mar/21;15:00;Terça;Arma de fogo;Masculino;58;Não Alfabetizado;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;09/mar/21;16:00;Terça;Arma de fogo;Masculino;27;Ensino Fundamental Completo;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;09/mar/21;16:30;Terça;Arma de fogo;Masculino;39;Alfabetizado;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;09/mar/21;18:18;Terça;Arma de fogo;Masculino;25;Ensino Médio Completo;Não Informada
Fortaleza;AIS 01;HOMICIDIO DOLOSO;09/mar/21;18:34;Terça;Arma de fogo;Masculino;48;Ensino Médio Completo;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;09/mar/21;19:30;Terça;Outros meios;Masculino;34;Ensino Médio Incompleto;Parda
Fortaleza;AIS 01;HOMICIDIO DOLOSO;09/mar/21;22:18;Terça;Arma de fogo;Masculino;33;Alfabetizado;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;10/mar/21;06:54;Quarta;Arma de fogo;Masculino;19;Alfabetizado;Não Informada
São Gonçalo do Amarante;AIS 23;HOMICIDIO DOLOSO;10/mar/21;07:30;Quarta;Arma de fogo;Feminino;44;Ensino Médio Completo;Não Informada
Boa Viagem;AIS 15;HOMICIDIO DOLOSO;10/mar/21;09:30;Quarta;Arma de fogo;Masculino;69;Alfabetizado;Parda
Boa Viagem;AIS 15;HOMICIDIO DOLOSO;10/mar/21;09:30;Quarta;Arma de fogo;Masculino;27;Ensino Fundamental Completo;Não Informada
Tejuçuoca;AIS 17;HOMICIDIO DOLOSO;10/mar/21;20:03;Quarta;Arma de fogo;Masculino;33;Ensino Médio Completo;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;10/mar/21;20:50;Quarta;Arma de fogo;Masculino;23;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;10/mar/21;22:23;Quarta;Arma de fogo;Masculino;27;Ensino Fundamental Incompleto;Não Informada
Cascavel;AIS 13;HOMICIDIO DOLOSO;11/mar/21;10:30;Quinta;Outros meios;Masculino;17;Não Informada;Não Informada
Baturité;AIS 15;HOMICIDIO DOLOSO;11/mar/21;11:30;Quinta;Arma branca;Masculino;29;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;11/mar/21;16:15;Quinta;Arma de fogo;Masculino;27;Ensino Médio Completo;Parda
Jaguaribara;AIS 18;HOMICIDIO DOLOSO;11/mar/21;19:20;Quinta;Arma de fogo;Masculino;23;Ensino Médio Completo;Não Informada
Aracati;AIS 18;HOMICIDIO DOLOSO;11/mar/21;20:30;Quinta;Arma de fogo;Masculino;29;Ensino Fundamental Incompleto;Não Informada
Horizonte;AIS 25;HOMICIDIO DOLOSO;11/mar/21;23:00;Quinta;Arma de fogo;Masculino;14;Ensino Fundamental Incompleto;Branca
Caucaia;AIS 11;HOMICIDIO DOLOSO;12/mar/21;02:22;Sexta;Arma de fogo;Masculino;20;Alfabetizado;Não Informada
Groaíras;AIS 14;HOMICIDIO DOLOSO;12/mar/21;16:30;Sexta;Arma de fogo;Masculino;34;Ensino Médio Completo;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;12/mar/21;22:00;Sexta;Arma de fogo;Masculino;20;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;12/mar/21;22:07;Sexta;Arma de fogo;Masculino;19;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;12/mar/21;22:07;Sexta;Arma de fogo;Masculino;17;Alfabetizado;Não Informada
Horizonte;AIS 25;HOMICIDIO DOLOSO;12/mar/21;23:30;Sexta;Arma de fogo;Masculino;20;Alfabetizado;Não Informada
Aracoiaba;AIS 15;HOMICIDIO DOLOSO;13/mar/21;01:00;Sábado;Arma de fogo;Masculino;26;Alfabetizado;Não Informada
Quixelô;AIS 21;HOMICIDIO DOLOSO;13/mar/21;05:00;Sábado;Arma de fogo;Masculino;25;Ensino Médio Completo;Parda
Caucaia;AIS 11;HOMICIDIO DOLOSO;13/mar/21;06:15;Sábado;Arma branca;Feminino;34;Alfabetizado;Não Informada
Nova Russas;AIS 16;HOMICIDIO DOLOSO;13/mar/21;06:30;Sábado;Arma de fogo;Masculino;65;Alfabetizado;Parda
Maracanaú;AIS 12;HOMICIDIO DOLOSO;13/mar/21;06:50;Sábado;Arma de fogo;Masculino;22;Ensino Fundamental Completo;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;13/mar/21;13:30;Sábado;Arma de fogo;Masculino;22;Alfabetizado;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;13/mar/21;16:00;Sábado;Arma de fogo;Masculino;32;Não Informada;Não Informada
Fortaleza;AIS 07;ROUBO SEGUIDO DE MORTE (LATROCINIO);13/mar/21;16:30;Sábado;Arma de fogo;Masculino;50;Ensino Fundamental Completo;Não Informada
Maranguape;AIS 24;HOMICIDIO DOLOSO;13/mar/21;16:30;Sábado;Arma branca;Masculino;33;Não Informada;Não Informada
Icó;AIS 21;HOMICIDIO DOLOSO;13/mar/21;19:00;Sábado;Arma de fogo;Masculino;47;Alfabetizado;Não Informada
Icó;AIS 21;HOMICIDIO DOLOSO;13/mar/21;19:00;Sábado;Arma de fogo;Masculino;55;Alfabetizado;Não Informada
Cascavel;AIS 13;HOMICIDIO DOLOSO;13/mar/21;19:30;Sábado;Arma de fogo;Masculino;39;Ensino Fundamental Incompleto;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;13/mar/21;19:30;Sábado;Arma de fogo;Feminino;16;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;13/mar/21;22:00;Sábado;Arma branca;Masculino;32;Ensino Fundamental Completo;Parda
Fortaleza;AIS 05;HOMICIDIO DOLOSO;14/mar/21;00:32;Domingo;Arma branca;Masculino;67;Não Informada;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;14/mar/21;02:31;Domingo;Arma de fogo;Masculino;34;Alfabetizado;Não Informada
Forquilha;AIS 14;HOMICIDIO DOLOSO;14/mar/21;02:50;Domingo;Arma de fogo;Masculino;21;Ensino Fundamental Completo;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;14/mar/21;05:00;Domingo;Arma de fogo;Masculino;16;Não Informada;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;14/mar/21;13:00;Domingo;Outros meios;Masculino;Não Informada;Não Informada;Não Informada
Itaitinga;AIS 25;HOMICIDIO DOLOSO;14/mar/21;16:30;Domingo;Arma de fogo;Masculino;24;Ensino Fundamental Completo;Não Informada
Caucaia;AIS 11;ROUBO SEGUIDO DE MORTE (LATROCINIO);15/mar/21;05:00;Segunda;Arma de fogo;Masculino;27;Alfabetizado;Branca
Boa Viagem;AIS 15;HOMICIDIO DOLOSO;15/mar/21;06:00;Segunda;Arma branca;Masculino;44;Não Alfabetizado;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;15/mar/21;08:39;Segunda;Arma de fogo;Masculino;22;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;15/mar/21;11:52;Segunda;Arma de fogo;Masculino;22;Alfabetizado;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;15/mar/21;13:30;Segunda;Arma de fogo;Masculino;48;Ensino Fundamental Incompleto;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;15/mar/21;14:00;Segunda;Arma de fogo;Masculino;19;Não Informada;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;15/mar/21;16:12;Segunda;Arma de fogo;Masculino;41;Alfabetizado;Parda
Santana do Acaraú;AIS 14;HOMICIDIO DOLOSO;15/mar/21;17:05;Segunda;Arma de fogo;Masculino;39;Alfabetizado;Parda
Aratuba;AIS 15;HOMICIDIO DOLOSO;15/mar/21;19:20;Segunda;Arma de fogo;Masculino;24;Ensino Fundamental Completo;Não Informada
Aracoiaba;AIS 15;HOMICIDIO DOLOSO;15/mar/21;20:20;Segunda;Arma de fogo;Masculino;40;Ensino Fundamental Incompleto;Não Informada
Aracoiaba;AIS 15;HOMICIDIO DOLOSO;15/mar/21;20:20;Segunda;Arma de fogo;Feminino;40;Ensino Fundamental Incompleto;Não Informada
Santana do Acaraú;AIS 14;HOMICIDIO DOLOSO;15/mar/21;20:57;Segunda;Arma de fogo;Masculino;37;Alfabetizado;Não Informada
Choró;AIS 20;HOMICIDIO DOLOSO;15/mar/21;21:20;Segunda;Arma de fogo;Masculino;21;Alfabetizado;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;16/mar/21;00:01;Terça;Arma de fogo;Feminino;27;Não Informada;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;16/mar/21;00:01;Terça;Arma de fogo;Masculino;43;Alfabetizado;Parda
Quixeré;AIS 18;HOMICIDIO DOLOSO;16/mar/21;03:30;Terça;Arma de fogo;Masculino;40;Alfabetizado;Branca
Itaitinga;AIS 25;ROUBO SEGUIDO DE MORTE (LATROCINIO);16/mar/21;05:20;Terça;Arma de fogo;Masculino;20;Alfabetizado;Parda
Fortaleza;AIS 06;HOMICIDIO DOLOSO;16/mar/21;12:15;Terça;Arma de fogo;Masculino;32;Ensino Fundamental Incompleto;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;16/mar/21;14:17;Terça;Arma de fogo;Masculino;29;Alfabetizado;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;16/mar/21;18:30;Terça;Arma de fogo;Masculino;18;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;16/mar/21;19:00;Terça;Arma de fogo;Masculino;23;Ensino Médio Completo;Parda
Forquilha;AIS 14;HOMICIDIO DOLOSO;16/mar/21;19:40;Terça;Arma de fogo;Masculino;34;Ensino Médio Completo;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;17/mar/21;02:00;Quarta;Arma de fogo;Masculino;19;Ensino Médio Incompleto;Branca
Fortaleza;AIS 03;HOMICIDIO DOLOSO;17/mar/21;06:00;Quarta;Arma de fogo;Masculino;25;Alfabetizado;Não Informada
Quixadá;AIS 20;HOMICIDIO DOLOSO;17/mar/21;09:10;Quarta;Arma de fogo;Masculino;35;Ensino Fundamental Incompleto;Parda
Itarema;AIS 17;HOMICIDIO DOLOSO;17/mar/21;11:00;Quarta;Arma de fogo;Masculino;22;Alfabetizado;Não Informada
Jaguaruana;AIS 18;HOMICIDIO DOLOSO;17/mar/21;11:00;Quarta;Arma de fogo;Masculino;17;Ensino Fundamental Completo;Branca
Quixadá;AIS 20;HOMICIDIO DOLOSO;17/mar/21;13:40;Quarta;Arma de fogo;Masculino;25;Ensino Fundamental Incompleto;Branca
Caucaia;AIS 11;HOMICIDIO DOLOSO;17/mar/21;15:30;Quarta;Arma de fogo;Masculino;32;Ensino Fundamental Incompleto;Preta
Fortaleza;AIS 03;HOMICIDIO DOLOSO;17/mar/21;20:00;Quarta;Arma de fogo;Masculino;17;Alfabetizado;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;18/mar/21;01:18;Quinta;Arma branca;Masculino;25;Ensino Fundamental Completo;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;18/mar/21;04:20;Quinta;Arma de fogo;Masculino;40;Ensino Fundamental Incompleto;Não Informada
Tabuleiro do Norte;AIS 18;HOMICIDIO DOLOSO;18/mar/21;09:10;Quinta;Arma de fogo;Masculino;15;Alfabetizado;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;18/mar/21;13:07;Quinta;Arma de fogo;Masculino;17;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 03;HOMICIDIO DOLOSO;18/mar/21;18:40;Quinta;Arma de fogo;Masculino;15;Ensino Fundamental Completo;Parda
Fortaleza;AIS 10;HOMICIDIO DOLOSO;18/mar/21;22:17;Quinta;Arma de fogo;Masculino;27;Não Informada;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;19/mar/21;03:51;Sexta;Arma de fogo;Masculino;33;Alfabetizado;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;19/mar/21;08:00;Sexta;Arma de fogo;Masculino;31;Ensino Fundamental Incompleto;Parda
Cascavel;AIS 13;HOMICIDIO DOLOSO;19/mar/21;10:30;Sexta;Arma de fogo;Masculino;18;Ensino Fundamental Incompleto;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;19/mar/21;14:20;Sexta;Arma de fogo;Masculino;41;Ensino Fundamental Completo;Parda
Caucaia;AIS 11;HOMICIDIO DOLOSO;19/mar/21;19:30;Sexta;Arma branca;Masculino;33;Ensino Fundamental Incompleto;Não Informada
Capistrano;AIS 15;HOMICIDIO DOLOSO;19/mar/21;21:30;Sexta;Arma de fogo;Masculino;16;Alfabetizado;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;20/mar/21;00:45;Sábado;Arma de fogo;Masculino;19;Ensino Médio Incompleto;Não Informada
Limoeiro do Norte;AIS 18;HOMICIDIO DOLOSO;20/mar/21;02:00;Sábado;Arma de fogo;Masculino;25;Ensino Fundamental Incompleto;Parda
Forquilha;AIS 14;HOMICIDIO DOLOSO;20/mar/21;07:30;Sábado;Arma de fogo;Masculino;26;Não Informada;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;20/mar/21;13:40;Sábado;Arma de fogo;Masculino;17;Não Informada;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;20/mar/21;13:40;Sábado;Arma de fogo;Masculino;21;Alfabetizado;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;21/mar/21;01:30;Domingo;Arma de fogo;Feminino;32;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;21/mar/21;08:14;Domingo;Arma de fogo;Masculino;17;Ensino Fundamental Incompleto;Não Informada
Aquiraz;AIS 13;HOMICIDIO DOLOSO;21/mar/21;08:14;Domingo;Arma de fogo;Masculino;17;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 10;HOMICIDIO DOLOSO;21/mar/21;13:30;Domingo;Arma de fogo;Feminino;25;Ensino Médio Completo;Parda
Salitre;AIS 19;HOMICIDIO DOLOSO;21/mar/21;20:00;Domingo;Arma de fogo;Masculino;41;Alfabetizado;Não Informada
Maracanaú;AIS 12;HOMICIDIO DOLOSO;21/mar/21;20:40;Domingo;Arma branca;Masculino;22;Não Alfabetizado;Não Informada
Beberibe;AIS 18;HOMICIDIO DOLOSO;21/mar/21;21:00;Domingo;Arma de fogo;Masculino;30;Ensino Médio Completo;Branca
Campos Sales;AIS 19;HOMICIDIO DOLOSO;22/mar/21;00:00;Segunda;Arma de fogo;Masculino;19;Ensino Fundamental Incompleto;Preta
Horizonte;AIS 25;HOMICIDIO DOLOSO;22/mar/21;02:25;Segunda;Arma de fogo;Masculino;21;Alfabetizado;Branca
Pacatuba;AIS 24;HOMICIDIO DOLOSO;22/mar/21;19:47;Segunda;Arma de fogo;Masculino;36;Alfabetizado;Parda
Fortaleza;AIS 06;HOMICIDIO DOLOSO;22/mar/21;20:20;Segunda;Arma de fogo;Masculino;14;Alfabetizado;Não Informada
Horizonte;AIS 25;HOMICIDIO DOLOSO;22/mar/21;20:30;Segunda;Arma de fogo;Feminino;21;Não Informada;Não Informada
Caucaia;AIS 11;HOMICIDIO DOLOSO;22/mar/21;20:40;Segunda;Arma de fogo;Masculino;38;Ensino Fundamental Completo;Parda
Maranguape;AIS 24;HOMICIDIO DOLOSO;22/mar/21;21:00;Segunda;Arma de fogo;Masculino;23;Alfabetizado;Não Informada
Groaíras;AIS 14;HOMICIDIO DOLOSO;22/mar/21;21:30;Segunda;Arma de fogo;Masculino;37;Não Informada;Não Informada
Acarape;AIS 15;HOMICIDIO DOLOSO;23/mar/21;03:30;Terça;Arma de fogo;Masculino;44;Alfabetizado;Não Informada
Fortaleza;AIS 10;HOMICIDIO DOLOSO;23/mar/21;07:00;Terça;Arma de fogo;Masculino;Não Informada;Não Informada;Não Informada
Pacatuba;AIS 24;LESAO CORPORAL SEGUIDA DE MORTE;23/mar/21;08:00;Terça;Arma branca;Masculino;52;Ensino Fundamental Completo;Parda
Trairi;AIS 23;HOMICIDIO DOLOSO;23/mar/21;10:00;Terça;Arma de fogo;Masculino;19;Não Informada;Não Informada
Tauá;AIS 22;HOMICIDIO DOLOSO;23/mar/21;10:20;Terça;Arma de fogo;Masculino;30;Alfabetizado;Parda
Maracanaú;AIS 12;HOMICIDIO DOLOSO;23/mar/21;11:40;Terça;Arma de fogo;Masculino;20;Ensino Médio Completo;Parda
Orós;AIS 21;HOMICIDIO DOLOSO;23/mar/21;12:30;Terça;Arma branca;Masculino;40;Alfabetizado;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;23/mar/21;16:00;Terça;Arma de fogo;Masculino;30;Ensino Médio Completo;Não Informada
Orós;AIS 21;HOMICIDIO DOLOSO;23/mar/21;17:00;Terça;Arma de fogo;Feminino;57;Alfabetizado;Não Informada
Orós;AIS 21;HOMICIDIO DOLOSO;23/mar/21;17:00;Terça;Arma de fogo;Masculino;53;Alfabetizado;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;24/mar/21;01:23;Quarta;Arma de fogo;Masculino;20;Alfabetizado;Parda
Cascavel;AIS 13;HOMICIDIO DOLOSO;24/mar/21;02:00;Quarta;Arma de fogo;Masculino;30;Alfabetizado;Não Informada
Cascavel;AIS 13;HOMICIDIO DOLOSO;24/mar/21;03:00;Quarta;Arma de fogo;Masculino;21;Ensino Fundamental Completo;Não Informada
Chorozinho;AIS 25;HOMICIDIO DOLOSO;24/mar/21;07:05;Quarta;Arma branca;Masculino;40;Não Alfabetizado;Branca
Sobral;AIS 14;HOMICIDIO DOLOSO;24/mar/21;07:30;Quarta;Arma de fogo;Masculino;38;Ensino Fundamental Incompleto;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;24/mar/21;08:30;Quarta;Arma de fogo;Masculino;37;Ensino Fundamental Incompleto;Não Informada
Paraipaba;AIS 23;HOMICIDIO DOLOSO;24/mar/21;16:00;Quarta;Arma de fogo;Masculino;29;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;24/mar/21;20:30;Quarta;Arma de fogo;Masculino;14;Ensino Fundamental Incompleto;Parda
Ibaretama;AIS 20;ROUBO SEGUIDO DE MORTE (LATROCINIO);24/mar/21;20:30;Quarta;Arma de fogo;Masculino;31;Não Informada;Não Informada
Fortaleza;AIS 02;HOMICIDIO DOLOSO;24/mar/21;22:00;Quarta;Outros meios;Masculino;20;Ensino Médio Completo;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;24/mar/21;23:10;Quarta;Arma branca;Masculino;31;Alfabetizado;Não Informada
Fortaleza;AIS 09;HOMICIDIO DOLOSO;25/mar/21;04:00;Quinta;Arma de fogo;Masculino;29;Ensino Médio Incompleto;Não Informada
Sobral;AIS 14;HOMICIDIO DOLOSO;25/mar/21;08:00;Quinta;Arma de fogo;Masculino;32;Ensino Fundamental Completo;Parda
Fortaleza;AIS 07;HOMICIDIO DOLOSO;25/mar/21;12:36;Quinta;Arma de fogo;Masculino;18;Ensino Fundamental Incompleto;Não Informada
Cascavel;AIS 13;HOMICIDIO DOLOSO;25/mar/21;18:00;Quinta;Arma de fogo;Masculino;29;Ensino Médio Completo;Não Informada
Icó;AIS 21;HOMICIDIO DOLOSO;25/mar/21;18:30;Quinta;Arma de fogo;Feminino;35;Ensino Médio Completo;Não Informada
São Gonçalo do Amarante;AIS 23;HOMICIDIO DOLOSO;26/mar/21;00:40;Sexta;Arma de fogo;Masculino;38;Não Informada;Parda
Crato;AIS 19;HOMICIDIO DOLOSO;26/mar/21;18:00;Sexta;Arma de fogo;Masculino;23;Ensino Médio Incompleto;Parda
Santana do Acaraú;AIS 14;HOMICIDIO DOLOSO;26/mar/21;21:00;Sexta;Arma de fogo;Masculino;23;Não Informada;Não Informada
Fortaleza;AIS 05;HOMICIDIO DOLOSO;27/mar/21;04:45;Sábado;Arma branca;Masculino;24;Ensino Fundamental Completo;Não Informada
Chorozinho;AIS 25;HOMICIDIO DOLOSO;27/mar/21;05:30;Sábado;Arma de fogo;Masculino;39;Alfabetizado;Não Informada
Pacatuba;AIS 24;HOMICIDIO DOLOSO;27/mar/21;10:12;Sábado;Arma de fogo;Masculino;Não Informada;Não Informada;Não Informada
Fortaleza;AIS 08;HOMICIDIO DOLOSO;27/mar/21;12:30;Sábado;Arma de fogo;Masculino;25;Ensino Médio Incompleto;Não Informada
Fortaleza;AIS 07;HOMICIDIO DOLOSO;27/mar/21;14:08;Sábado;Arma branca;Masculino;60;Alfabetizado;Não Informada
Pacajus;AIS 25;HOMICIDIO DOLOSO;27/mar/21;15:00;Sábado;Arma de fogo;Masculino;24;Ensino Médio Completo;Parda
Pacatuba;AIS 24;HOMICIDIO DOLOSO;27/mar/21;15:00;Sábado;Arma branca;Masculino;Não Informada;Não Informada;Não Informada
Fortaleza;AIS 06;HOMICIDIO DOLOSO;27/mar/21;15:30;Sábado;Arma de fogo;Masculino;30;Ensino Médio Completo;Não Informada
Maranguape;AIS 24;HOMICIDIO DOLOSO;27/mar/21;17:50;Sábado;Arma de fogo;Masculino;25;Ensino Fundamental Completo;Não Informada
Crateús;AIS 16;HOMICIDIO DOLOSO;27/mar/21;18:40;Sábado;Arma de fogo;Masculino;59;Ensino Fundamental Incompleto;Parda
Caucaia;AIS 11;HOMICIDIO DOLOSO;27/mar/21;20:00;Sábado;Arma de fogo;Masculino;47;Ensino Médio Completo;Não Informada
Missão Velha;AIS 19;HOMICIDIO DOLOSO;28/mar/21;01:00;Domingo;Arma de fogo;Masculino;32;Alfabetizado;Não Informada
